datetime,elapsed_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2000/01/17@00:16:59,160,-0.0146484368,-0.04272461,1.31604,-17.435114,11.946565,21.641222
2000/01/17@00:17:00,161,0.23492432,-0.30877686,1.0845947,15.587787,-17.778626,-90.854968
2000/01/17@00:17:01,162,-0.08532715,0.09991455,0.88116456,-5.2137404,59.664124,6.7099236
2000/01/17@00:17:02,163,-1.0408936,0.10491943,0.31640624,-53.374048,12.633588,17.358778
2000/01/17@00:17:03,164,-0.222229,0.39971924,1.0762329,-129.96946,-164.9542,26.1984732
2000/01/17@00:17:04,165,0.13995362,-0.04510498,1.1098633,2.6564886,-5.6488548,3.1526718
2000/01/17@00:17:05,166,0.084350584,-0.09539795,1.0323486,-4.40458,-0.15267176,0.90076332
2000/01/17@00:17:06,167,0.07897949,-0.10437012,1.0316772,-1.5267176,0.9160305,-0.793893168
2000/01/17@00:17:07,168,0.06781006,-0.07470703,1.0377808,0.236641232,2.206107,-0.465648868
2000/01/17@00:17:08,169,0.057739256,-0.099853512,1.0397949,-11.572519,-5.7328244,-0.396946584
2000/01/17@00:17:09,170,0.038391112,-0.07104492,1.0379639,15.480916,10.091603,-4.2671756
2000/01/17@00:17:10,171,0.068359376,-0.050048828,1.0409546,-4.931298,-0.78625952,0.5114504
2000/01/17@00:17:11,172,0.07043457,-0.08319092,1.0284424,-8.022901,-1.4503816,-1.221374
2000/01/17@00:17:12,173,0.06390381,-0.06695557,1.0442505,-3.0229008,0.54198476,-1.1068702
2000/01/17@00:17:14,174,0.06036377,-0.03918457,1.0526123,-4.557252,0.488549632,-1.3740458
2000/01/17@00:17:15,176,0.06665039,-0.08001709,1.0446167,0.7251908,2.740458,0.206106868
2000/01/17@00:17:16,177,0.08282471,-0.06347656,1.0430298,-25.0,-11.664123,-1.167939
2000/01/17@00:17:17,178,0.06530762,-0.10443115,1.0321045,7.0229008,4.1984736,-1.221374
2000/01/17@00:17:18,179,0.05645752,-0.034484864,1.0509033,-4.0152676,-0.5648855,-1.2824427
2000/01/17@00:17:19,180,0.06011963,-0.059448244,1.0421142,-2.2824428,-1.3816794,-1.6717557
2000/01/17@00:17:20,181,0.051696776,-0.057495116,1.0369873,-0.8549618,1.4503816,-1.0229008
2000/01/17@00:17:21,182,0.05303955,-0.06567383,1.0431518,-1.5725191,1.038168,-1.2137405
2000/01/17@00:17:22,183,0.050354004,-0.060058592,1.0360108,-0.08396947,1.6717557,-1.0687023
