2026/08/01@02:41:20,109,-0.94940184,-0.121398932,0.010131836,0.70229008,3.4580152,-0.78625952
2026/08/01@02:41:22,111,-0.8579712,-0.123291016,-0.021606446,-0.221374052,0.8854962,-1.480916
2026/08/01@02:41:23,112,-0.942688,-0.13903808,0.010070801,-1.0,1.68702284,-0.32061068
2026/08/01@02:41:24,113,-0.9376221,-0.12646484,-0.008117676,-1.4656489,1.0687023,-1.1832061
2026/08/01@02:41:25,114,-0.92108152,-0.14215088,0.020874024,-1.1832061,0.9465649,-1.0
2026/08/01@02:41:26,115,-0.93951416,-0.13110352,0.014343262,-1.4198474,0.57251908,-1.70229
2026/08/01@02:41:27,116,-0.92333984,-0.12878418,0.0033569336,-1.5343511,1.2900764,-0.7633588
2026/08/01@02:41:28,117,-0.94122312,-0.13793946,0.017333984,-1.5343511,1.5343511,-0.78625952
2026/08/01@02:41:29,118,-0.9338379,-0.12945556,0.0059814452,-1.2824427,0.236641232,-2.4885496
2026/08/01@02:41:30,119,-0.93640136,-0.1408081,0.015808106,-1.2290076,1.3358779,-1.2671756
2026/08/01@02:41:31,120,-0.9368286,-0.1404419,0.01751709,-1.4274809,1.129771,-1.1068702
2026/08/01@02:41:33,122,-0.94317624,-0.13470459,0.024902344,-1.389313,1.3969466,-1.6641221
2026/08/01@02:41:34,123,-0.9378662,-0.13726806,0.029663086,-1.4427481,0.84732824,-1.0610686
2026/08/01@02:41:35,124,-0.9369507,-0.1395874,0.026184082,-1.4274809,0.6793893,-1.4351145
2026/08/01@02:41:36,125,-0.93359376,-0.13116455,0.020507812,-1.2519084,0.67175576,-1.6335878
2026/08/01@02:41:37,126,-0.9338989,-0.1315918,0.010498047,-1.70229,1.1374046,-0.32061068
2026/08/01@02:41:38,127,-0.9376831,-0.15032959,0.032104492,-1.1603054,1.6641221,-1.9847329
2026/08/01@02:41:39,128,-0.93548584,-0.13220215,0.01574707,-1.6030534,1.5496184,-1.0229008
2026/08/01@02:41:40,129,-0.9407959,-0.12420654,-0.00030517578,-2.2519084,1.5725191,-0.480916032
2026/08/01@02:41:41,130,-0.93914792,-0.121521,0.05432129,-4.1984736,-0.473282468,-0.8396947
2026/08/01@02:41:42,131,-0.93518068,-0.12719726,0.038024904,-1.3053435,1.1450381,-1.1145039
2026/08/01@02:41:44,133,-0.9319458,-0.117614744,0.0281372068,-1.5114504,0.89312976,-1.0
2026/08/01@02:41:45,134,-0.9499512,-0.12524414,0.04425049,-1.2442748,1.221374,-1.0076336
2026/08/01@02:41:46,135,-0.9385376,-0.11767578,0.041137696,-1.3358779,0.66412216,-0.52671752
2026/08/01@02:41:47,136,-0.9135132,-0.11151123,0.014160156,-1.6412214,1.5648855,-1.4427481
2026/08/01@02:41:48,137,-0.9380493,-0.12390137,0.03869629,-1.167939,0.03816794,-1.8778626
2026/08/01@02:41:49,138,-0.93829348,-0.1329956,0.03778076,-1.480916,0.58778624,-1.2137405
2026/08/01@02:41:50,139,-0.93933108,-0.12756348,0.034362792,-1.5038168,1.0229008,-1.908397
2026/08/01@02:41:51,140,-0.938110336,-0.12817383,0.034606932,-1.4122137,0.8396947,-1.129771
2026/08/01@02:41:52,141,-0.9345703,-0.14147949,0.052490236,-1.3587786,0.83206104,-0.13740458
2026/08/01@02:41:54,143,-0.93463132,-0.10205078,0.045410156,-1.6183206,2.3053436,-0.32824428
2026/08/01@02:41:55,144,-0.9349365,-0.12054443,0.03955078,-1.4351145,0.129771,-2.0152672
2026/08/01@02:41:56,145,-0.9432373,-0.11450195,0.032409668,-1.4045801,1.1068702,0.32824428
2026/08/01@02:41:57,146,-0.9411011,-0.12445068,0.044555664,-1.4274809,1.0763359,-0.78625952
2026/08/01@02:41:58,147,-0.9342041,-0.12994385,0.044433592,-1.5038168,1.832061,-1.1374046
2026/08/01@02:41:59,148,-0.9390259,-0.12915039,0.04345703,-1.3740458,0.8167939,-1.0229008
2026/08/01@02:42:00,149,-0.9354248,-0.124938968,0.042541504,-1.3206106,1.4274809,-1.1374046
2026/08/01@02:42:01,150,-0.93847656,-0.12371826,0.04498291,-1.4961832,1.8931298,-1.0152671
2026/08/01@02:42:02,151,-0.9395752,-0.1295166,0.05291748,-1.4503816,1.1603054,-0.6946565
2026/08/01@02:42:03,152,-0.9343872,-0.1237793,0.0496215816,-6.480916,0.8396947,-1.1221374
2026/08/01@02:42:05,154,-0.9373779,-0.13372802,0.04626465,-1.6335878,1.0763359,-1.3969466
2026/08/01@02:42:06,155,-0.93573,-0.13421631,0.04425049,-1.6412214,1.9694656,-0.8778626
2026/08/01@02:42:07,156,-0.8865967,-0.12585449,-0.13006592,-13.572519,28.816794,-2.3664122
2026/08/01@02:42:08,157,-0.7775879,-0.1762085,-0.32574464,-6.3206104,-8.748092,-5.068702
2026/08/01@02:42:09,158,-0.9259033,-0.169494632,-0.2703247,-1.8396946,5.9389316,-1.7709924
2026/08/01@02:42:10,159,-0.7888794,-0.15325928,-0.4694214,-2.9923664,13.114504,1.2824427
2026/08/01@02:42:11,160,-0.7908325,-0.17810058,-0.4418335,-2.0610688,-4.6564884,-3.7175572
2026/08/01@02:42:12,161,-0.8703613,-0.15252686,-0.38702392,1.5725191,0.57251908,1.6793894
2026/08/01@02:42:13,162,-0.83081052,-0.16131592,-0.40100098,-2.7251908,-1.5801526,0.29007636
2026/08/01@02:42:14,163,-0.8240967,-0.1692505,-0.44543456,-1.5725191,-5.3816796,-0.3129771
2026/08/01@02:42:16,165,-0.74505616,-0.16662598,-0.54785156,-3.6946564,2.0687022,-1.6793894
2026/08/01@02:42:17,166,-0.7584839,-0.14776612,-0.5170288,-1.3587786,-0.86259544,-1.0610686
2026/08/01@02:42:18,167,-0.7608032,-0.16534424,-0.47930908,-3.7175572,12.435115,-4.0458016
2026/08/01@02:42:19,168,-0.7409668,-0.13848877,-0.5942383,-0.45038168,-3.7862596,-0.5801527
2026/08/01@02:42:20,169,-0.7470703,-0.1251831,-0.58691408,-1.68702284,-2.664122,-2.183206
2026/08/01@02:42:21,170,-0.6977539,-0.12634278,-0.62231448,-0.7557252,-1.0610686,-2.1145038
2026/08/01@02:42:22,171,-0.67144776,-0.09661865,-0.6828613,-2.3969466,2.8244274,-1.1450381
2026/08/01@02:42:23,172,-0.68444824,-0.07946777,-0.67456056,-2.427481,0.9847328,-1.6641221
2026/08/01@02:42:24,173,-0.663208,-0.10601807,-0.67614744,-2.3053436,1.69465652,-0.6793893
2026/08/01@02:42:26,174,-0.6592407,-0.10321045,-0.6748657,-3.0076336,2.7709922,0.480916032
2026/08/01@02:42:27,176,-0.62316892,-0.10241699,-0.6972656,0.030534352,3.335878,-0.58778624
2026/08/01@02:42:28,177,-0.64990232,-0.09832764,-0.6929321,-0.732824436,2.2442748,-2.129771
2026/08/01@02:42:29,178,-0.65301516,-0.08483887,-0.69836424,-0.366412232,2.5877862,-1.091603
2026/08/01@02:42:30,179,-0.57403564,-0.04937744,-0.7501831,-3.0610688,1.259542,-0.10687023
2026/08/01@02:42:31,180,-0.5982666,-0.03845215,-0.7576294,-1.167939,-0.67175576,-2.7709922
2026/08/01@02:42:32,181,-0.5864258,-0.03552246,-0.75805668,-1.4274809,1.0534351,-0.9312977
2026/08/01@02:42:33,182,-0.6086426,-0.046569824,-0.74121096,-1.4885496,-0.65648852,-2.557252
